path,container,ok,index_source,n_entries,first_pts_ms,last_pts_ms,duration_ms,coverage_pct,bytes_read,n_reads,index_ms,moov_position,size_gb,fallback_ms,fallback_entries,error
lib2:436e6929,matroska,1,seekhead,1371,0,2668043,2670144,99.9,292634,2,234,,1.27,,,
lib2:732eb298,matroska,1,seekhead,3240,0,2517515,2518528,100.0,378192,2,126,,0.68,,,
lib2:25ef5097,matroska,1,seekhead,7340,0,3562476,3563519,100.0,700008,3,404,,0.83,,,
lib2:9f883340,matroska,1,seekhead,815,19,1413139,1418899,99.6,282764,2,94,,1.02,,,
lib2:a160ba8b,matroska,1,seekhead,9736,0,3480477,3482112,100.0,524288,2,257,,2.44,,,
lib2:35045206,matroska,1,seekhead,1501,0,1314360,1314976,100.0,464346,2,174,,0.66,,,
lib2:a02714e0,matroska,1,seekhead,2136,0,2530000,2530080,100.0,313271,2,104,,2.72,,,
lib1:2f8c409b,matroska,1,seekhead,7237,0,6372366,6373909,100.0,439400,2,225,,3.91,,,
lib2:367aa309,matroska,1,seekhead,3027,0,2560558,2561632,100.0,337110,2,135,,2.85,,,
lib2:08ec6ce2,matroska,1,seekhead,1919,0,1291290,1292083,99.9,310985,2,114,,1.58,,,
lib2:4bcc8e5d,matroska,1,seekhead,3761,0,5666360,5668480,100.0,332622,2,129,,6.55,,,
lib2:764de130,matroska,1,seekhead,23040,0,2748000,2748667,100.0,885361,4,525,,1.74,,,
lib2:3f9a5525,matroska,1,seekhead,20131,0,1834000,1835209,99.9,809436,4,440,,1.11,,,
lib2:7f22a760,mp4,1,sample-tables,424,0,2540538,2542958,99.9,2359296,4,102,faststart,0.79,,,
lib2:14519280,matroska,1,seekhead,6359,0,2550000,2550144,100.0,463016,2,184,,0.87,,,
lib2:8636e882,matroska,1,seekhead,704,0,1357815,1359776,99.9,489412,2,61,,0.23,,,
lib2:380b763f,matroska,1,seekhead,2003,0,2614695,2615914,100.0,313046,2,123,,0.27,,,
lib1:41111071,matroska,1,seekhead,18752,0,6333995,6335840,100.0,744557,3,428,,7.84,,,
lib2:b7d35cbe,matroska,1,seekhead,5920,0,1421420,1422088,100.0,685049,3,420,,1.42,,,
lib2:f475f824,matroska,1,seekhead,17424,0,3340000,3343640,99.9,727214,3,423,,2.44,,,
lib2:be177772,matroska,1,seekhead,5195,0,3374000,3374360,100.0,440477,2,201,,1.15,,,
lib1:a1577b9d,matroska,1,seekhead,2602,0,2782780,2783840,100.0,325486,2,132,,3.13,,,
lib2:045fa2b4,matroska,1,seekhead,24159,0,2704702,2706016,100.0,914760,4,513,,2.19,,,
lib2:9af88df8,other,0,,,,,,,,,,,0.34,,,unrecognised container
lib2:bcd65a93,mp4,1,sample-tables,818,0,2751081,2760425,99.7,2616316,4,215,end,0.72,,,
lib2:570df5db,matroska,1,seekhead,1980,0,2637885,2640064,99.9,313948,2,116,,0.82,,,
lib2:0ccdc879,mp4,1,sample-tables,468,0,1349556,1355755,99.5,1178023,4,210,end,0.35,,,
lib2:90daaac6,matroska,1,seekhead,2412,0,2564562,2564768,100.0,321488,2,149,,1.84,,,
lib1:61afba85,matroska,1,seekhead,6553,0,6012708,6019904,99.9,441736,2,171,,8.87,,,
lib2:2ca077e9,matroska,1,seekhead,3227,0,2566230,2566944,100.0,378388,2,116,,1.32,,,
lib1:0736ec14,matroska,1,seekhead,3196,0,8175668,8177962,100.0,471012,2,100,,12.04,,,
lib2:412d97c7,matroska,1,seekhead,4040,0,2517515,2517891,100.0,399870,2,128,,1.75,,,
lib2:c82c8ec1,matroska,1,seekhead,733,0,2607146,2613361,99.8,278230,2,66,,0.74,,,
lib2:7beb5860,matroska,1,seekhead,2122,0,2778776,2780352,99.9,311823,2,140,,3.24,,,
lib2:2b95b189,matroska,1,seekhead,994,0,1582080,1585040,99.8,287426,2,105,,1.2,,,
lib2:3de45de0,matroska,1,seekhead,662,0,1251416,1251475,100.0,278760,2,76,,0.46,,,
lib2:bca902cd,mp4,1,sample-tables,438,0,2624622,2627392,99.9,2359296,4,221,faststart,0.83,,,
lib2:b3270405,matroska,1,seekhead,2037,0,2417290,2421483,99.8,314216,2,111,,0.79,,,
lib2:9d657a2c,matroska,1,seekhead,1865,0,2589212,2590784,99.9,309611,2,197,,0.37,,,
lib2:6f134221,matroska,1,seekhead,24572,0,2918916,2919876,100.0,924872,4,644,,3.26,,,
lib2:adb48314,matroska,1,seekhead,2745,0,2560558,2562240,99.9,329471,2,113,,3.01,,,
lib2:64fdd4e6,matroska,1,seekhead,560,21,2631942,2657801,99.0,272216,2,48,,1.42,,,
